station_complex_id,borough,routes,payment_method,latitude,longitude,ridership,transfers,region,ridership_percap,transfers_percap
N209,Bronx,"['B', 'D']",metrocard,40.83930587768555,-73.91339874267578,1520,18,NE,0.0011014923772379498,1.3043988677817828e-05
N209,Bronx,"['B', 'D']",omny,40.83930587768555,-73.91339874267578,834,14,NE,0.0006043714754055594,1.0145324527191644e-05
N210,Bronx,"['B', 'D']",metrocard,40.84590148925781,-73.9101333618164,1245,4,NE,0.0009022092168823998,2.898664150626184e-06
N210,Bronx,"['B', 'D']",omny,40.84590148925781,-73.9101333618164,703,3,NE,0.0005094402244725519,2.1739981129696378e-06
N213,Bronx,"['B', 'D']",metrocard,40.85041046142578,-73.90522766113281,1426,65,NE,0.0010333737696982346,4.710329244767549e-05
N213,Bronx,"['B', 'D']",omny,40.85041046142578,-73.90522766113281,694,50,NE,0.0005029182301336429,3.62333018828273e-05
N215,Bronx,"['B', 'D']",metrocard,40.85609436035156,-73.90074157714844,1077,1,NE,0.0007804653225561,7.24666037656546e-07
N215,Bronx,"['B', 'D']",omny,40.85609436035156,-73.90074157714844,631,3,NE,0.0004572642697612805,2.1739981129696378e-06
N217,Bronx,"['B', 'D']",metrocard,40.86129760742188,-73.89775085449219,2364,66,NE,0.0017131105130200747,4.782795848533203e-05
N217,Bronx,"['B', 'D']",omny,40.86129760742188,-73.89775085449219,1346,43,NE,0.0009754004866857109,3.1160639619231474e-05
N221,Bronx,"['B', 'D']",metrocard,40.86697769165039,-73.89350891113281,1444,37,NE,0.0010464177583760525,2.6812643393292203e-05
N221,Bronx,"['B', 'D']",omny,40.86697769165039,-73.89350891113281,738,23,NE,0.0005348035357905309,1.6667318866100558e-05
N222,Bronx,"['B', 'D']",metrocard,40.87324523925781,-73.88713836669922,1511,77,NE,0.001094970382899041,5.579928489955404e-05
N222,Bronx,"['B', 'D']",omny,40.87324523925781,-73.88713836669922,826,35,NE,0.000598574147104307,2.536331131797911e-05
N224,Bronx,['D'],metrocard,40.87480926513672,-73.87885284423828,1575,68,NE,0.0011413490093090599,4.927729056064513e-05
N224,Bronx,['D'],omny,40.87480926513672,-73.87885284423828,840,35,NE,0.0006087194716314986,2.536331131797911e-05
N301,Manhattan,"['E', 'B', 'D']",metrocard,40.76286315917969,-73.98163604736328,4410,11,NW,0.002762685330140897,6.8910518438888585e-06
N301,Manhattan,"['E', 'B', 'D']",omny,40.76286315917969,-73.98163604736328,5818,39,NW,0.003644739966158671,2.443191108287868e-05
N303,Manhattan,"['M', 'E']",metrocard,40.76016616821289,-73.97522735595703,4184,52,NW,0.002621105537711908,3.257588144383824e-05
N303,Manhattan,"['M', 'E']",omny,40.76016616821289,-73.97522735595703,5483,178,NW,0.0034348761145493283,0.00011150974801929244
N305,Manhattan,"['M', 'E', '6']",metrocard,40.75755310058594,-73.96905517578125,9104,109,NW,0.005703285089705834,6.828405918035323e-05
N305,Manhattan,"['M', 'E', '6']",omny,40.75755310058594,-73.96905517578125,14456,344,NW,0.009056095041387031,0.00021550198493616068
N307,Queens,"['M', 'E', 'G', '7']",metrocard,40.74784469604492,-73.94383239746094,6185,114,NE,0.0027150664017007685,5.0043261082277707e-05
N307,Queens,"['M', 'E', 'G', '7']",omny,40.74784469604492,-73.94383239746094,10427,269,NE,0.004577202485130786,0.00011808453711519915
N309A,Queens,"['M', 'E', 'R']",metrocard,40.74897384643555,-73.93724060058594,5567,706,NE,0.0024437792495178947,0.000309917037930597
N309A,Queens,"['M', 'E', 'R']",omny,40.74897384643555,-73.93724060058594,7172,1711,NE,0.003148335688439436,0.0007510878922085716
N312,Queens,"['M', 'R']",metrocard,40.75204086303711,-73.92877960205078,235,0,NE,0.00010315935398539703,0.0
N312,Queens,"['M', 'R']",omny,40.75204086303711,-73.92877960205078,172,0,NE,7.550386759782251e-05,0.0
N315,Queens,"['M', 'R']",metrocard,40.75687789916992,-73.92073822021484,2136,52,NE,0.0009376526813310981,2.282675066910913e-05
